time,precip_rate,TMP_2maboveground,SPFH_2maboveground,UGRD_10maboveground,VGRD_10maboveground,PRES_surface,DSWRF_surface,DLWRF_surface
2015-12-01 00:00:00,0.00000000,271.49,0.00302, 1.088, 2.362,102349.7,  0.00,229.21
2015-12-01 01:00:00,0.00000000,270.74,0.00288, 1.267, 2.366,102358.5,  0.00,228.42
2015-12-01 02:00:00,0.00000000,270.18,0.00278, 1.452, 2.372,102370.7,  0.00,228.27
2015-12-01 03:00:00,0.00000000,269.64,0.00268, 1.640, 2.378,102379.5,  0.00,205.43
2015-12-01 04:00:00,0.00000000,269.30,0.00261, 1.515, 1.989,102315.8,  0.00,205.25
2015-12-01 05:00:00,0.00000000,268.95,0.00254, 1.401, 1.602,102252.0,  0.00,205.04
2015-12-01 06:00:00,0.00000000,268.61,0.00246, 1.284, 1.211,102187.4,  0.00,205.02
2015-12-01 07:00:00,0.00000000,268.59,0.00248, 1.262, 1.056,102221.6,  0.00,204.87
2015-12-01 08:00:00,0.00000000,268.56,0.00250, 1.248, 0.906,102260.9,  0.00,204.65
2015-12-01 09:00:00,0.00000000,268.54,0.00251, 1.234, 0.754,102296.6,  0.00,204.71
2015-12-01 10:00:00,0.00000000,268.76,0.00254, 0.454, 0.845,102307.1,  0.00,204.57
2015-12-01 11:00:00,0.00000000,268.98,0.00257,-0.325, 0.933,102319.8,  0.00,204.42
2015-12-01 12:00:00,0.00000000,269.20,0.00260,-1.106, 1.022,102331.2,  0.00,209.06
2015-12-01 13:00:00,0.00000000,270.51,0.00271,-1.790, 1.022,102297.2,152.11,208.74
2015-12-01 14:00:00,0.00000000,271.85,0.00282,-2.478, 1.032,102266.2,278.82,208.56
2015-12-01 15:00:00,0.00000000,273.16,0.00293,-3.159, 1.035,102232.2,314.91,248.57
2015-12-01 16:00:00,0.00000000,273.56,0.00300,-3.197, 1.166,102173.0,364.39,248.29
2015-12-01 17:00:00,0.00000000,273.97,0.00308,-3.233, 1.298,102110.5,363.51,248.02
2015-12-01 18:00:00,0.00000000,274.37,0.00315,-3.259, 1.429,102050.8,161.46,299.84
2015-12-01 19:00:00,0.00001386,274.02,0.00329,-3.450, 1.485,101966.0,124.47,299.48
2015-12-01 20:00:00,0.00000000,273.66,0.00343,-3.641, 1.546,101882.0, 71.58,299.11
2015-12-01 21:00:00,0.00000000,273.30,0.00357,-3.830, 1.603,101794.6,  2.14,316.76
2015-12-01 22:00:00,0.00000000,274.21,0.00387,-3.446, 1.329,101725.8,  0.00,320.14
2015-12-01 23:00:00,0.00000000,275.14,0.00420,-3.063, 1.045,101657.5,  0.00,323.64
2015-12-02 00:00:00,0.00004494,276.05,0.00455,-2.677, 0.767,101586.4,  0.00,330.26
2015-12-02 01:00:00,0.00004039,275.14,0.00426,-2.597, 0.696,101499.5,  0.00,325.52
2015-12-02 02:00:00,0.00007897,274.20,0.00399,-2.520, 0.621,101410.9,  0.00,320.66
2015-12-02 03:00:00,0.00016684,273.29,0.00374,-2.437, 0.554,101322.7,  0.00,317.84
2015-12-02 04:00:00,0.00004563,273.43,0.00379,-2.509, 0.060,101231.8,  0.00,317.69
2015-12-02 05:00:00,0.00000000,273.58,0.00384,-2.575,-0.429,101138.1,  0.00,317.61
2015-12-02 06:00:00,0.00000000,273.71,0.00389,-2.644,-0.913,101045.0,  0.00,322.47
2015-12-02 07:00:00,0.00000000,273.87,0.00391,-2.447,-0.913,100976.2,  0.00,323.06
2015-12-02 08:00:00,0.00000000,274.03,0.00393,-2.247,-0.908,100906.9,  0.00,323.61
2015-12-02 09:00:00,0.00000000,274.18,0.00395,-2.044,-0.904,100838.1,  0.00,325.47
2015-12-02 10:00:00,0.00000000,274.20,0.00395,-1.588,-0.795,100820.2,  0.00,325.72
2015-12-02 11:00:00,0.00000000,274.22,0.00396,-1.133,-0.689,100806.1,  0.00,325.96
2015-12-02 12:00:00,0.00000000,274.24,0.00397,-0.678,-0.576,100787.1,  0.00,329.29
2015-12-02 13:00:00,0.00000000,274.81,0.00408,-0.254,-0.193,100775.5, 38.88,329.51
2015-12-02 14:00:00,0.00010855,275.38,0.00420, 0.167, 0.195,100761.9, 71.92,329.77
2015-12-02 15:00:00,0.00029944,275.95,0.00432, 0.580, 0.589,100750.0, 99.90,334.38
2015-12-02 16:00:00,0.00012776,276.03,0.00435, 0.700, 0.893,100625.6,115.73,333.65
2015-12-02 17:00:00,0.00009713,276.13,0.00439, 0.814, 1.206,100501.1,115.56,332.97
2015-12-02 18:00:00,0.00023656,276.21,0.00442, 0.932, 1.518,100377.7,105.63,334.07
2015-12-02 19:00:00,0.00043703,276.49,0.00455, 0.991, 1.815,100317.4, 81.39,334.49
2015-12-02 20:00:00,0.00037976,276.77,0.00468, 1.053, 2.103,100260.0, 46.72,334.99
2015-12-02 21:00:00,0.00012979,277.03,0.00480, 1.104, 2.395,100201.3,  2.25,333.79
2015-12-02 22:00:00,0.00012988,277.08,0.00486, 0.998, 2.209,100119.8,  0.00,334.45
2015-12-02 23:00:00,0.00011314,277.13,0.00493, 0.885, 2.030,100034.9,  0.00,335.18
2015-12-03 00:00:00,0.00000000,277.18,0.00499, 0.777, 1.846, 99951.2,  0.00,339.38
