,0
0,-0.26065984
1,-0.28837934
2,-0.13086706
3,-0.5443763
4,-0.20815903
5,-0.111453176
6,-0.068742916
7,-0.25102693
8,-0.3083231
9,-0.5021779
10,-0.3828241
11,-0.25881287
12,-0.38735086
13,-0.24001044
14,-0.05216851
15,-0.32699203
16,-0.066424966
17,-0.5265618
18,-0.1765842
19,-0.08992696
20,-0.36701462
21,-0.24023387
22,0.07709025
23,-0.5255062
24,-0.28659013
25,-0.031462256
26,-0.13390113
27,-0.20688964
28,-0.2026372
29,0.060754478
30,0.28307664
31,-0.10285342
32,-0.30985698
33,-0.16394132
34,0.077364124
35,-0.55632216
36,-0.11281874
37,-0.28713313
38,0.31345743
39,-0.4937286
40,-0.21208854
41,-0.21981585
42,-0.49345773
43,-0.12375421
44,-0.33042192
45,-0.19923474
46,-0.3908324
47,0.032791976
48,-0.28675264
49,-0.332424
50,-0.23798436
51,-0.38951352
52,-0.28871095
53,-0.07130064
54,-0.41395336
55,-0.3642077
56,-0.4005953
57,-0.403823
58,-0.032561798
59,-0.14460686
60,-0.123053394
61,-0.29936707
62,-0.21606605
63,-0.41290835
64,3.0143325
65,2.8663774
66,2.9290993
67,3.0238268
68,2.95415
69,3.1165938
70,2.8627205
71,2.9745522
72,2.6958623
73,2.800074
74,3.018488
75,2.921949
76,2.785514
77,3.055329
78,2.967287
79,2.904222
80,2.9620364
81,2.8751822
82,2.9891
83,3.0918596
84,2.874129
85,3.1356812
86,2.9319124
87,2.830766
88,2.8394456
89,2.9513307
90,2.796393
91,2.7248275
92,2.9646387
93,3.0384018
94,3.3701887
95,3.1138077
96,2.8513896
97,3.0008104
98,3.0312629
99,2.993292
100,2.9887054
101,2.8102129
102,3.102611
103,2.672555
104,2.8659554
105,2.983446
106,2.8663425
107,3.0164099
108,2.8850164
109,2.978644
110,2.699589
111,2.942985
112,3.0054169
113,2.884838
114,3.0166192
115,2.7514455
116,2.8526585
117,2.8918533
118,3.0553117
119,2.9051557
120,2.8345945
121,2.884827
122,2.9346788
123,2.9122207
124,3.1185803
125,2.8437366
126,2.96673
127,2.8922608
128,0.16102892
129,0.029526336
130,-0.14153796
131,-0.067527816
132,-0.07684918
133,0.13650097
134,-0.31626925
135,0.13527766
136,0.21408167
137,0.20467108
138,0.227525
139,0.18157639
140,0.11647997
141,0.3173837
142,0.12309689
143,-0.007854846
144,0.05673049
145,-0.0036778147
146,-0.019411761
147,-0.20330143
148,-0.20463492
149,-0.23644903
150,0.12572387
151,0.17894407
152,0.028054224
153,-0.12497308
154,0.12335933
155,-0.10960422
156,-0.04642139
157,0.16480254
158,-0.3223188
159,0.030972822
160,-0.11269698
161,-0.07197452
162,-0.079651125
163,0.1321105
164,-0.14812677
165,-0.17648122
166,0.063213706
167,-0.107654944
168,0.14809336
169,-0.039059255
170,-0.08823902
171,-0.05610274
172,-0.06138653
173,-0.05577525
174,-0.08058947
175,-0.040474396
176,0.031979255
177,-0.061170567
178,-0.30193946
179,0.033129312
180,0.014123279
181,-0.17955172
182,-0.20653069
183,-0.17786838
184,-0.117822655
185,-0.20518532
186,-0.008750424
187,0.10132205
188,0.15222737
189,-0.11139076
190,0.0719434
191,-0.21591116
192,-0.1719287
193,-0.031897254
194,0.101664715
195,-0.37994066
196,-0.28564495
197,0.17078333
198,-0.18520752
199,0.21282534
200,-0.42326006
201,-0.39551395
202,-0.32131043
203,-0.36264446
204,-0.2601302
205,0.07349991
206,-0.5781161
207,0.122549124
208,-0.16686268
209,-0.45687872
210,-0.48447666
211,-0.1235857
212,-0.3279501
213,0.4207828
214,-0.15898444
215,-0.33535734
216,-0.370308
217,0.054930322
218,-0.31371698
219,-0.23625132
220,0.03639278
221,0.24735071
222,-0.20164433
223,-0.20086657
224,-0.25782952
225,-0.17296936
226,-0.22524719
227,-0.6499174
228,0.03802885
229,-0.3949088
230,-0.312126
231,-0.35275704
232,-0.41808683
233,0.026674604
234,-0.42189327
235,0.13374932
236,-0.035128266
237,-0.033193547
238,-0.19943988
239,0.009896441
240,-0.45354176
241,-0.21193103
242,0.03598742
243,-0.19611868
244,-0.5355623
245,-0.15724051
246,0.306741
247,-0.2753041
248,-0.28734776
249,-0.32497928
250,0.06783192
251,-0.04754756
252,-0.6309857
253,-0.36194265
254,-0.36076236
255,0.0957772
