Time Step,Time,RAIN_RATE,DIRECT_RUNOFF,GIUH_RUNOFF,NASH_LATERAL_RUNOFF,DEEP_GW_TO_CHANNEL_FLUX,SOIL_TO_GW_FLUX,Q_OUT,POTENTIAL_ET,ACTUAL_ET,GW_STORAGE,SOIL_STORAGE,SOIL_STORAGE_CHANGE,SURF_RUNOFF_SCHEME
0,2015-12-01 00:00:00,0.000000,57.684600,3.461076,0.000000,4.024288,-784.000000,7.485364,0.000000,0.000000,11.975712,727.193400,668.630800,1.000000
1,2015-12-01 01:00:00,0.000000,726.315400,72.998070,0.000000,0.882010,0.000000,73.880080,0.000000,0.000000,11.093702,-725.437400,-1452.630800,1.000000
2,2015-12-01 02:00:00,0.000000,0.000000,386.572542,0.000000,0.630804,0.000000,387.203346,0.000000,0.000000,10.462898,-725.437400,0.000000,1.000000
3,2015-12-01 03:00:00,0.000000,0.000000,210.290464,0.000000,0.495816,0.000000,210.786279,0.000000,0.000000,9.967083,-725.437400,0.000000,1.000000
4,2015-12-01 04:00:00,0.000000,0.000000,88.888386,0.000000,0.409994,0.000000,89.298380,0.000000,0.000000,9.557089,-725.437400,0.000000,1.000000
5,2015-12-01 05:00:00,0.000000,0.000000,21.789462,0.000000,0.350140,0.000000,22.139602,0.000000,0.000000,9.206948,-725.437400,0.000000,1.000000
6,2015-12-01 06:00:00,0.000000,0.000000,0.000000,0.000000,0.305826,0.000000,0.305826,0.000000,0.000000,8.901123,-725.437400,0.000000,1.000000
7,2015-12-01 07:00:00,0.000000,0.000000,0.000000,0.000000,0.271605,0.000000,0.271605,0.000000,0.000000,8.629517,-725.437400,0.000000,1.000000
8,2015-12-01 08:00:00,0.000000,0.000000,0.000000,0.000000,0.244335,0.000000,0.244335,0.000000,0.000000,8.385182,-725.437400,0.000000,1.000000
9,2015-12-01 09:00:00,0.000000,0.000000,0.000000,0.000000,0.222068,0.000000,0.222068,0.000000,0.000000,8.163114,-725.437400,0.000000,1.000000
10,2015-12-01 10:00:00,0.000000,0.000000,0.000000,0.000000,0.203525,0.000000,0.203525,0.000000,0.000000,7.959590,-725.437400,0.000000,1.000000
11,2015-12-01 11:00:00,0.000000,0.000000,0.000000,0.000000,0.187835,0.000000,0.187835,0.000000,0.000000,7.771755,-725.437400,0.000000,1.000000
